lokacija2;kvadratura;sprat;broj_soba;parking;lift;terasa;cena
2.28401;42;0;2;0;0;1;64900
2.82883;61;0;3;0;1;0;124900
2.82883;62;8;3;0;1;1;96000
2.82883;62;4;3;0;1;1;99900
5.97639;61;3;3;0;1;1;62220
5.97639;57;1;3;0;0;1;63500
5.97639;57;2;3;0;0;1;63500
5.90221;86;4;3;0;0;1;69500
5.90221;83;0;3;0;0;1;70000
5.90221;65;0;3;0;0;0;68000
2.28401;47;0;2;0;1;1;112330
2.82883;65;1;3;0;0;1;91900
2.28401;46;0;2;0;1;1;111039
2.28401;47;0;2;0;1;1;112330
2.28401;46;0;2;0;1;1;111039
2.82883;38;0;3;0;0;0;92000
2.82883;65;1;3;0;0;0;92000
5.90221;74;1;3;1;0;1;80000
2.28401;42;0;2;0;0;1;64900
2.82883;74;1;3;0;1;1;157753
2.82883;74;3;3;0;1;1;172615
2.82883;75;2;3;0;1;1;157754
2.28401;56;4;2;1;1;0;114000
5.90221;85;0;3;1;1;0;95000
6.28083;86;3;3;0;1;1;120000
10.41927;62;2;3;0;1;1;71000
2.28401;72;0;2;0;0;1;105000
2.40507;84;1;3;1;0;1;140000
4.8955;81;0;3;0;1;1;128000
5.14346;52;-1;3;0;0;0;39500
2.82883;78;1;3;0;0;1;185000
2.82883;78;2;3;0;1;1;185000
2.82883;83;0;3;0;0;0;160000
6.28083;62;1;3;1;0;1;125000
5.90221;80;1;3;0;1;1;110000
10.41927;62;4;3;0;0;0;58900
5.90221;79;1;3;0;1;1;108625
10.41927;76;0;3;0;0;0;57000
10.41927;72;1;3;1;1;1;82000
4.8955;67;5;3;0;1;0;122500
10.41927;70;2;3;0;1;1;71000
4.8955;86;4;3;0;1;1;124000
4.8955;81;1;3;1;1;1;133500
2.82883;109;1;3;1;1;1;196000
2.82883;87;1;3;0;0;0;180000
5.14346;37;4;3;0;0;1;51800
5.90221;74;2;3;0;0;1;115000
6.28083;86;12;3;0;1;1;125000
10.41927;73;4;3;1;0;1;75000
10.41927;100;5;3;1;1;1;87000
4.8955;62;1;3;0;1;0;120000
2.82883;69;1;3;0;1;1;185000
5.14346;64;0;3;0;0;1;52000
5.90221;74;2;3;0;0;1;115000
5.90221;74;2;3;0;0;1;115000
5.14346;54;0;3;0;0;1;53000
4.8955;59;0;3;1;1;0;109000
8.33278;61;-1;3;0;0;1;47000
6.28083;94;10;3;0;1;0;112000
6.28083;75;9;3;0;1;1;117000
4.8955;62;11;3;0;1;1;96000
5.14346;85;0;3;0;1;1;76500
10.0511;60;4;3;1;1;1;55000
4.8955;55;0;3;1;1;1;126500
5.14346;57;9;3;0;1;0;69900
2.40507;81;3;3;0;1;1;150000
2.40507;61;4;3;0;1;1;149000
2.40507;63;5;3;0;1;1;150000
6.28083;94;10;3;1;1;0;105000
2.40507;72;2;3;0;1;0;145000
10.0511;55;2;3;0;0;1;61500
2.40507;74;3;3;0;0;1;159000
10.0511;60;3;3;0;0;1;67000
2.40507;74;3;3;0;0;1;159000
10.0511;49;4;3;0;0;1;56350
10.0511;77;2;3;1;0;1;59900
5.14346;60;2;3;0;1;1;81000
5.14346;63;1;3;0;0;1;80000
4.8955;56;0;3;1;1;1;89500
4.8955;55;0;3;0;1;0;88000
10.0511;63;4;3;0;0;1;70300
6.28083;59;0;3;0;0;1;109000
2.40507;74;3;3;0;0;0;159000
4.8955;62;11;3;0;1;0;92000
4.8955;62;11;3;0;1;0;92000
6.28083;66;0;3;0;1;1;109000
6.28083;74;14;3;0;1;1;117000
5.90221;90;2;3;0;0;1;99000
6.28083;86;3;3;0;1;1;120000
4.55358;31;0;2;0;0;1;1400
8.33278;30;4;1;0;0;1;29000
5.80479;104;8;4;0;1;1;95000
4.55358;66;0;2;0;0;1;1400
2.93805;94;7;4;1;1;0;138000
5.14346;70;3;3;1;0;1;62000
2.40507;84;1;4;0;0;1;140000
3.8586;21;1;1;0;0;0;27000
5.80479;90;6;4;0;1;1;85000
5.80479;90;6;4;0;1;1;85000
5.37218;15;-1;1;0;1;0;24000
6.50801;33;0;1;0;0;0;38000
5.80479;87;3;4;0;0;1;99999
2.40507;82;0;4;1;1;1;149000
2.40507;72;2;4;0;1;1;152000
2.40507;84;1;4;1;0;1;140000
2.40507;82;0;4;0;1;1;149000
5.80479;135;2;4;1;0;1;105000
3.8586;21;1;1;0;0;0;27000
3.8586;26;5;1;0;0;0;33800
3.8586;26;5;1;0;0;0;33800
6.50801;33;0;1;0;0;0;37900
5.86895;32;0;1;0;0;0;38000
5.86895;33;0;1;1;0;0;34500
5.37218;30;-1;1;0;0;0;25000
5.80479;70;4;4;1;0;1;88000
5.06732;80;0;4;0;0;1;85000
5.36227;104;9;4;0;1;1;87000
3.8586;36;5;1;0;0;0;43080
3.8586;33;1;1;0;0;0;45000
2.40507;72;2;4;0;1;1;152000
5.37218;20;-1;1;0;0;0;19000
5.37218;30;-1;1;0;0;0;28000
3.8586;26;5;1;0;0;0;37180
14.82759;38;0;1;1;0;0;17500
14.82759;28;1;1;1;0;0;17000
14.82759;34;0;1;1;0;0;13500
14.82759;69;0;1;1;0;1;25000
3.8586;41;4;1;0;0;1;53300
5.90221;25;0;1;0;0;1;34500
5.90221;48;0;1;0;0;1;37500
5.90221;25;0;1;0;0;1;34500
5.37218;30;-1;1;0;0;0;28000
5.80479;90;6;4;0;1;1;84900
5.90221;35;1;1;1;1;1;47000
5.90221;33;3;1;1;1;1;45000
5.90221;38;3;1;1;0;1;43000
3.8586;41;0;1;0;0;1;61900
3.8586;41;1;1;0;0;1;70000
5.80479;76;6;4;0;1;1;84900
8.84526;92;3;4;1;1;0;152000
13.44523;40;-1;1;0;0;0;44000
3.82358;89;5;4;0;0;1;149000
7.29636;85;4;4;0;0;1;130000
6.09595;95;6;4;0;1;1;145000
3.8586;55;0;1;0;0;0;63000
3.8586;34;2;1;1;0;1;67000
3.8586;41;3;1;0;0;1;61500
2.06858;91;5;4;0;1;0;158000
4.29517;25;2;1;0;0;0;35000
4.29517;25;2;1;0;0;0;35000
4.29517;25;2;1;1;0;0;35000
4.29517;47;0;1;0;0;0;49000
7.29636;95;7;4;0;0;0;159000
6.09595;95;6;4;0;0;0;145000
6.09595;95;6;4;0;1;1;145000
6.09595;95;6;4;0;1;1;145000
2.06858;86;1;4;0;1;1;162540
2.06858;86;2;4;0;1;1;162540
6.09595;95;6;4;0;1;1;145000
2.06858;86;3;4;1;1;1;159100
2.06858;85;1;4;1;1;0;157250
7.29636;84;15;4;0;1;1;132000
7.29636;93;3;4;1;1;1;139000
7.29636;93;3;4;0;1;1;139000
3.75851;83;1;4;0;1;1;175000
7.29636;105;17;4;0;1;1;140000
1.02103;31;0;1;0;0;0;60000
2.06858;98;4;4;0;0;1;180000
2.06858;93;4;4;0;1;1;175770
2.06858;110;2;4;0;0;1;140000
2.06858;86;5;4;0;1;1;162540
5.50949;104;11;4;0;1;1;165000
