Rang;Cena
638;107200
639;107200
640;107200
641;107200
642;107000
643;106900
644;106900
645;106900
646;106900
647;106900
648;106850
649;106560
650;106330
651;106250
652;106000
653;105840
654;105720
655;105720
656;105700
657;105650
658;105600
659;105500
660;105470
661;105470
662;105400
663;105400
664;105400
665;105400
666;105350
667;105100
668;105000
669;105000
670;105000
671;105000
672;105000
673;104800
674;104650
675;104400
676;104287
677;104270
678;104170
679;104130
680;104000
681;104000
682;104000
683;104000
684;104000
685;103950
686;103830
687;103790
688;103580
689;103500
690;103500
691;103500
692;103210
693;103180
694;103000
695;103000
696;103000
697;102900
698;102850
699;102850
700;102800
701;102800
702;102800
703;102780
704;102700
705;102680
706;102600
707;102190
708;102170
709;102170
710;102170
711;102120
712;102062
713;102000
714;101970
715;101970
716;101900
717;101400
718;100900
719;100633
720;100600
721;100600
722;100580
723;100200
724;100000
725;99975
726;99900
727;99900
728;99800
729;99700
730;99700
731;99500
732;99060
733;99050
734;99000
735;99000
736;99000
737;99000
738;98880
739;98600
740;98570
741;98400
742;98400
743;98400
744;98400
745;98250
746;98150
747;98150
748;98060
749;98000
750;97900
751;97900
752;97850
753;97800
754;97800
755;97800
756;97750
757;97700
758;97500
759;97240
760;97200
761;97200
762;97150
763;97104
764;97104
765;97104
766;97100
767;96700
768;96700
769;96200
770;96140
771;96010
772;96000
773;96000
774;95960
775;95800
776;95790
777;95750
778;95530
779;95500
780;95300
781;95270
782;95250
783;95250
784;95250
785;95220
786;95100
787;95100
788;95050
789;95040
790;95000
791;95000
792;95000
793;94650
794;94500
795;94460
796;94450
797;94325
798;94320
799;94280
800;94270
801;94215
802;94210
803;94100
804;94100
805;94010
806;94000
807;94000
808;94000
809;94000
810;94000
811;93900
812;93900
813;93770
814;93730
815;93600
816;93600
817;93600
818;93550
819;93550
820;93500
821;93250
822;93200
823;93200
824;93200
825;93165
826;93130
827;92940
828;92905
829;92905
830;92900
831;92900
832;92900
833;92860
834;92850
835;92800
836;92730
837;92700
838;92700
839;92700
840;92600
841;92480
842;92400
843;92390
844;92350
845;92340
846;92300
847;92300
848;92196
849;92100
850;92000
851;92000
852;92000
853;91900
854;91800
855;91700
856;91700
857;91650
858;91500
859;91220
860;91200
861;91000
862;91000
863;91000
864;91000
865;90660
866;90640
867;90570
868;90200
869;90000
870;90000
871;90000
872;90000
873;90000
874;89990
875;89900
876;89700
877;89600
878;89600
879;89500
880;89400
881;89170
882;89170
883;89100
884;89100
885;89050
886;89000
887;89000
888;88990
889;88990
890;88990
891;88948
892;88880
893;88840
894;88800
895;88740
896;88700
897;88700
898;88500
899;88500
900;88400
901;88370
902;88350
903;88300
904;88250
905;88250
906;88250
907;88100
908;88100
909;88000
910;88000
911;87970
912;87600
